entity,entity_type,source,method,confidence,evidence
Quốc hội,CoQuan,166170,metadata,1.0,metadata.co_quan_ban_hanh of id=166170 (so_ky_hieu=32/2024/QH15)
Vương Đình Huệ,NguoiKy,166170,metadata,1.0,metadata.nguoi_ky of id=166170 (so_ky_hieu=32/2024/QH15)
Tín dụng,LinhVuc,166170,metadata,1.0,metadata.linh_vuc of id=166170 (so_ky_hieu=32/2024/QH15)
Tổ chức tín dụng,DoiTuongApDung,166170,gemini,1.0,Điều 2. Đối tượng áp dụng 1. Tổ chức tín dụng.
Chi nhánh ngân hàng nước ngoài,DoiTuongApDung,166170,gemini,1.0,2. Chi nhánh ngân hàng nước ngoài.
Văn phòng đại diện nước ngoài,DoiTuongApDung,166170,gemini,1.0,3. Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài
Chính phủ,CoQuan,112025,metadata,1.0,metadata.co_quan_ban_hanh of id=112025 (so_ky_hieu=73/2016/NĐ-CP)
Nguyễn Xuân Phúc,NguoiKy,112025,metadata,1.0,metadata.nguoi_ky of id=112025 (so_ky_hieu=73/2016/NĐ-CP)
doanh nghiệp bảo hiểm,DoiTuongApDung,112025,gemini,1.0,Nghị định này áp dụng đối với: a) Doanh nghiệp bảo hiểm;
Chi nhánh nước ngoài,DoiTuongApDung,112025,gemini,1.0,Nghị định này áp dụng đối với: b) Chi nhánh nước ngoài;
doanh nghiệp môi giới bảo hiểm,DoiTuongApDung,112025,gemini,1.0,"Nghị định này áp dụng đối với: c) Doanh nghiệp môi giới bảo hiểm, đại lý bảo hiểm;"
Bảo hiểm,LinhVuc,112025,gemini,1.0,Quy định chi tiết thi hành Luật kinh doanh bảo hiểm
Ngân hàng Nhà nước Việt Nam,CoQuan,38128,metadata,1.0,metadata.co_quan_ban_hanh of id=38128 (so_ky_hieu=37/2014/TT-NHNN)
Đào Minh Tú,NguoiKy,38128,metadata,1.0,metadata.nguoi_ky of id=38128 (so_ky_hieu=37/2014/TT-NHNN)
Phát hành và kho quỹ,LinhVuc,38128,metadata,1.0,metadata.linh_vuc of id=38128 (so_ky_hieu=37/2014/TT-NHNN)
Các đơn vị có liên quan thuộc Ngân hàng Nhà nước,DoiTuongApDung,38128,gemini,0.95,1. Các đơn vị có liên quan thuộc Ngân hàng Nhà nước.
Nhà máy in tiền Quốc gia,DoiTuongApDung,38128,gemini,0.95,2. Nhà máy in tiền Quốc gia.
"Tổ chức, cá nhân khác có liên quan đến công việc thiết kế mẫu tiền, chế tạo bản in, khuôn đúc và in, đúc tiền",DoiTuongApDung,38128,gemini,0.95,"3. Tổ chức, cá nhân khác có liên quan đến công việc thiết kế mẫu tiền, chế tạo bản in, khuôn đúc và in, đúc tiền."
Quốc hội,CoQuan,26750,metadata,1.0,metadata.co_quan_ban_hanh of id=26750 (so_ky_hieu=67/2011/QH12)
Nguyễn Phú Trọng,NguoiKy,26750,metadata,1.0,metadata.nguoi_ky of id=26750 (so_ky_hieu=67/2011/QH12)
kiểm toán viên hành nghề,DoiTuongApDung,26750,gemini,0.95,"quyền, nghĩa vụ của kiểm toán viên hành nghề, doanh nghiệp kiểm toán"
doanh nghiệp kiểm toán,DoiTuongApDung,26750,gemini,0.95,"quyền, nghĩa vụ của kiểm toán viên hành nghề, doanh nghiệp kiểm toán"
chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam,DoiTuongApDung,26750,gemini,0.95,chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam tại Việt Nam
đơn vị được kiểm toán,DoiTuongApDung,26750,gemini,0.95,đơn vị được kiểm toán
Kiểm toán độc lập,LinhVuc,26750,gemini,0.9,Luật Kiểm toán độc lập
Chính phủ,CoQuan,163441,metadata,1.0,metadata.co_quan_ban_hanh of id=163441 (so_ky_hieu=46/2023/NĐ-CP)
Lê Minh Khái,NguoiKy,163441,metadata,1.0,metadata.nguoi_ky of id=163441 (so_ky_hieu=46/2023/NĐ-CP)
Bảo hiểm,LinhVuc,163441,metadata,1.0,metadata.linh_vuc of id=163441 (so_ky_hieu=46/2023/NĐ-CP)
"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe",DoiTuongApDung,163441,gemini,1.0,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe"
Chính phủ,CoQuan,146468,metadata,1.0,metadata.co_quan_ban_hanh of id=146468 (so_ky_hieu=156/2020/NĐ-CP)
Nguyễn Xuân Phúc,NguoiKy,146468,metadata,1.0,metadata.nguoi_ky of id=146468 (so_ky_hieu=156/2020/NĐ-CP)
Chứng khoán,LinhVuc,146468,metadata,1.0,metadata.linh_vuc of id=146468 (so_ky_hieu=156/2020/NĐ-CP)
"tổ chức, cá nhân Việt Nam và tổ chức, cá nhân nước ngoài",DoiTuongApDung,146468,gemini,1.0,"Tổ chức, cá nhân Việt Nam và tổ chức, cá nhân nước ngoài (sau đây gọi chung là tổ chức, cá nhân) thực hiện hành vi vi phạm hành chính trong lĩnh vực chứng khoán"
Chứng khoán và thị trường chứng khoán,LinhVuc,146468,gemini,1.0,Quy định xử phạt vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán
Ngân hàng Nhà nước Việt Nam,CoQuan,168220,metadata,1.0,metadata.co_quan_ban_hanh of id=168220 (so_ky_hieu=27/2024/TT-NHNN)
Đào Minh Tú,NguoiKy,168220,metadata,1.0,metadata.nguoi_ky of id=168220 (so_ky_hieu=27/2024/TT-NHNN)
"Thanh tra, giám sát ngân hàng",LinhVuc,168220,metadata,1.0,metadata.linh_vuc of id=168220 (so_ky_hieu=27/2024/TT-NHNN)
Ngân hàng hợp tác xã,DoiTuongApDung,168220,gemini,1.0,1. Ngân hàng hợp tác xã.
Quỹ tín dụng nhân dân,DoiTuongApDung,168220,gemini,1.0,2. Quỹ tín dụng nhân dân.
Chính phủ,CoQuan,133858,metadata,1.0,metadata.co_quan_ban_hanh of id=133858 (so_ky_hieu=05/2019/NĐ-CP)
Nguyễn Xuân Phúc,NguoiKy,133858,metadata,1.0,metadata.nguoi_ky of id=133858 (so_ky_hieu=05/2019/NĐ-CP)
cơ quan nhà nước,DoiTuongApDung,133858,gemini,0.95,Nghị định này quy định về công tác kiểm toán nội bộ trong các cơ quan nhà nước
đơn vị sự nghiệp công lập,DoiTuongApDung,133858,gemini,0.95,đơn vị sự nghiệp công lập và các doanh nghiệp
doanh nghiệp,DoiTuongApDung,133858,gemini,0.95,đơn vị sự nghiệp công lập và các doanh nghiệp
Kiểm toán,LinhVuc,133858,gemini,0.9,NGHỊ ĐỊNH Về kiểm toán nội bộ
Ngân hàng Nhà nước Việt Nam,CoQuan,169221,metadata,1.0,metadata.co_quan_ban_hanh of id=169221 (so_ky_hieu=43/2024/TT-NHNN)
Phạm Thanh Hà,NguoiKy,169221,metadata,1.0,metadata.nguoi_ky of id=169221 (so_ky_hieu=43/2024/TT-NHNN)
Quản lý ngoại hối,LinhVuc,169221,metadata,1.0,metadata.linh_vuc of id=169221 (so_ky_hieu=43/2024/TT-NHNN)
